UncalGyro,elapsedRealtimeNanos,utcTimeMillis,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
UGys,121798921583126,1684598673140,-0.0015271181,0.012827792,-1.2565892,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798923527969,1684598673142,9.162709E-4,0.017103724,-1.2712495,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798926222553,1684598673144,-0.0015271181,0.01099525,-1.2798014,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798928106042,1684598673146,9.162709E-4,0.007330167,-1.2901858,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798931669219,1684598673150,-9.162709E-4,-0.002443389,-1.2962942,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798933233907,1684598673151,3.0542363E-4,0.007330167,-1.2938509,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798936346980,1684598673155,0.0027488125,-0.015271181,-1.2828556,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798938696251,1684598673157,0.008857286,-0.017103724,-1.265141,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798940959844,1684598673159,0.0051922016,-0.028709821,-1.2425396,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798943471876,1684598673162,0.009468133,-0.03115321,-1.2205492,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798946497084,1684598673165,0.008246438,-0.029931515,-1.1887851,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798948015157,1684598673166,0.0021379655,-0.023212196,-1.1545777,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798952853490,1684598673171,0.0021379655,-0.03298575,-1.1185377,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798953756042,1684598673172,0.0027488125,-0.021379653,-1.0886061,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798956227917,1684598673174,0.0021379655,-0.028709821,-1.0727241,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798958241980,1684598673176,-3.0542363E-4,-0.032374904,-1.0562313,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798961606250,1684598673180,9.162709E-4,-0.023823043,-1.0348517,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798963563334,1684598673182,-0.0015271181,-0.007330167,-1.0208021,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798965208125,1684598673183,-0.003970507,-0.002443389,-1.0043093,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798967920105,1684598673186,9.162709E-4,0.0012216945,-0.993314,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798970462500,1684598673189,-0.0015271181,-0.0036650836,-0.99270314,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798973275053,1684598673191,-0.005803049,-0.0012216945,-0.99758995,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798975438178,1684598673194,-0.0027488125,0.002443389,-1.001255,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798977680521,1684598673196,-3.0542363E-4,0.002443389,-1.0073634,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798980670782,1684598673199,-9.162709E-4,0.0061084726,-1.009196,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798982570521,1684598673201,-0.0045813546,0.005497625,-1.0140828,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798985434219,1684598673204,3.0542363E-4,-0.010384403,-1.0177479,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798987557292,1684598673206,0.0045813546,-0.01099525,-1.0275215,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798992133125,1684598673210,-0.0027488125,-0.020768806,-1.0330191,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798993218803,1684598673211,0.0045813546,-0.018325418,-1.0427927,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798995329948,1684598673214,-0.0021379655,-0.014049487,-1.0489011,-0.0030298405,-0.016549386,-0.0017614996
UGys,121798997213542,1684598673215,-0.00335966,-0.0219905,-1.0513445,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799000318959,1684598673218,0.003970507,-0.032374904,-1.0489011,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799002655625,1684598673221,0.0051922016,-0.0452027,-1.0470686,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799005209584,1684598673223,0.0021379655,-0.046424393,-1.0476794,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799007698907,1684598673226,0.0027488125,-0.041537613,-1.0470686,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799010472448,1684598673229,-3.0542363E-4,-0.04459185,-1.0470686,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799012647813,1684598673231,0.0027488125,-0.049478628,-1.0470686,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799015161719,1684598673233,0.00335966,-0.040926766,-1.0458468,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799017088542,1684598673235,-0.0021379655,-0.0452027,-1.0440143,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799020381823,1684598673239,-0.0021379655,-0.030542362,-1.045236,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799022795886,1684598673241,-0.0051922016,-0.027488127,-1.0421817,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799025245834,1684598673243,-9.162709E-4,-0.040926766,-1.0415709,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799027165730,1684598673245,0.00335966,-0.03787253,-1.0391276,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799029824688,1684598673248,-0.003970507,-0.043981,-1.0360733,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799032682813,1684598673251,-0.003970507,-0.025044737,-1.0275215,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799034728646,1684598673253,-0.0051922016,-0.036650836,-1.0183587,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799037592813,1684598673256,0.0027488125,-0.02687728,-1.0104177,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799039625573,1684598673258,-0.0027488125,-0.029320668,-0.99758995,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799042567136,1684598673261,-0.0015271181,-0.025655584,-0.9884272,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799044413750,1684598673263,-0.0045813546,-0.018325418,-0.98537296,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799046783073,1684598673265,-0.0027488125,-0.028709821,-0.98903805,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799050147500,1684598673268,-0.00335966,-0.028709821,-0.99270314,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799053493594,1684598673272,-0.0051922016,-0.029931515,-1.0000333,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799054529532,1684598673273,-0.0021379655,-0.023823043,-1.0061418,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799056544115,1684598673275,-0.0027488125,-0.033596598,-1.0079744,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799059142865,1684598673277,-0.003970507,-0.03115321,-1.0085852,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799062921511,1684598673281,-0.0021379655,-0.037261683,-1.005531,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799063928907,1684598673282,0.0015271181,-0.04214846,-1.0024767,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799066321667,1684598673284,-9.162709E-4,-0.03787253,-0.99697906,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799069714480,1684598673288,-0.0021379655,-0.029931515,-0.99025977,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799072801563,1684598673291,0.003970507,-0.037261683,-0.98170793,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799074276719,1684598673292,0.0027488125,-0.04031592,-0.97071266,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799076392605,1684598673295,3.0542363E-4,-0.045813546,-0.9560523,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799080930521,1684598673299,9.162709E-4,-0.04031592,-0.95116556,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799083061355,1684598673301,9.162709E-4,-0.035429142,-0.9481113,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799084421407,1684598673303,0.0021379655,-0.038483378,-0.9456679,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799087363750,1684598673306,0.006413896,-0.03298575,-0.9450571,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799088942657,1684598673307,0.0027488125,-0.030542362,-0.95055467,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799091046563,1684598673309,-0.0021379655,-0.028709821,-0.9584957,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799094077761,1684598673312,9.162709E-4,-0.018325418,-0.9682693,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799096985105,1684598673315,-0.0021379655,-0.02443389,-0.98170793,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799100690365,1684598673319,0.0027488125,-0.028098974,-0.99392486,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799101900782,1684598673320,3.0542363E-4,-0.023212196,-1.0104177,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799104339011,1684598673323,-0.0051922016,-0.014049487,-1.0262997,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799106101459,1684598673324,-0.003970507,-0.0219905,-1.0464578,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799110192553,1684598673328,-0.00335966,-0.018325418,-1.0684482,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799111435053,1684598673330,-0.00335966,-0.02443389,-1.0928822,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799113836303,1684598673332,-9.162709E-4,-0.021379653,-1.1160944,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799116072344,1684598673334,-0.0021379655,-0.018936265,-1.1277004,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799119087813,1684598673337,-9.162709E-4,-0.017103724,-1.1399174,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799121395782,1684598673340,-0.0045813546,-0.025655584,-1.1545777,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799123277553,1684598673341,-0.00335966,-0.028098974,-1.169238,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799125840782,1684598673344,-0.0021379655,-0.025044737,-1.1747357,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799129938907,1684598673348,-3.0542363E-4,-0.020768806,-1.1814549,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799130807917,1684598673349,-9.162709E-4,-0.023212196,-1.1918393,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799133538386,1684598673352,0.0027488125,-0.02260135,-1.2028346,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799135825469,1684598673354,-0.003970507,-0.026266431,-1.217495,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799139341980,1684598673358,0.0021379655,-0.036650836,-1.2345986,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799140712605,1684598673359,0.0027488125,-0.017103724,-1.2480373,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799143294167,1684598673361,-0.003970507,-0.029320668,-1.2553675,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799145910678,1684598673364,-0.0015271181,-0.015271181,-1.2706387,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799152734532,1684598673371,-0.0045813546,-0.029320668,-1.2834665,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799153423178,1684598673372,0.00335966,-0.031764057,-1.2938509,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799153447813,1684598673372,-3.0542363E-4,-0.026266431,-1.3091221,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799155907761,1684598673374,-0.0076355906,-0.023823043,-1.313398,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799159262136,1684598673377,-0.0021379655,-0.017714571,-1.3079003,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799161148021,1684598673379,-0.0015271181,-0.02015796,-1.2962942,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799163563594,1684598673382,-0.00335966,-0.020768806,-1.281023,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799165464636,1684598673384,-0.0051922016,-0.018325418,-1.2620867,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799168072657,1684598673386,-0.00335966,-0.023212196,-1.2394855,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799170382709,1684598673389,3.0542363E-4,-0.020768806,-1.2119973,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799173272865,1684598673391,-0.008246438,-0.019547112,-1.1820658,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799175763698,1684598673394,-0.0045813546,-0.023823043,-1.1551886,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799179212917,1684598673397,0.0027488125,-0.026266431,-1.1283113,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799180337917,1684598673399,-9.162709E-4,-0.029320668,-1.1063207,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799183238230,1684598673401,-0.0045813546,-0.030542362,-1.0892171,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799185190573,1684598673403,-0.0021379655,-0.025044737,-1.0745567,-0.0030298405,-0.016549386,-0.0017614996
UGys,121799187946563,1684598673406,-0.003970507,-0.039094225,-1.0537878,-0.0030298405,-0.016549386,-0.0017614996
