UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,165469064680802,1684642343283,-0.60329044,0.40528435,11.16521,0.0,0.0,0.0
UAcc,165469067417208,1684642343286,-0.2228316,0.4746762,12.466905,0.0,0.0,0.0
UAcc,165469069718927,1684642343288,0.5691927,0.44835514,13.574782,0.0,0.0,0.0
UAcc,165469072233302,1684642343290,1.2631112,0.47706902,14.089239,0.0,0.0,0.0
UAcc,165469074638458,1684642343293,1.279861,0.43639103,12.710973,0.0,0.0,0.0
UAcc,165469076932625,1684642343295,1.2391831,0.34067813,10.684252,0.0,0.0,0.0
UAcc,165469079710333,1684642343298,1.1099706,0.2976073,9.999905,0.0,0.0,0.0
UAcc,165469081967833,1684642343300,1.1051849,0.20189442,9.545269,0.0,0.0,0.0
UAcc,165469084202729,1684642343302,1.1817553,0.12053844,8.57139,0.0,0.0,0.0
UAcc,165469086734396,1684642343305,1.2702898,0.051146585,7.9827557,0.0,0.0,0.0
UAcc,165469089182729,1684642343307,1.3277174,0.2114657,8.399107,0.0,0.0,0.0
UAcc,165469091683823,1684642343310,1.1554343,0.36460635,9.210274,0.0,0.0,0.0
UAcc,165469094568771,1684642343313,0.70319074,0.4531408,9.839586,0.0,0.0,0.0
UAcc,165469096772729,1684642343315,0.1911267,0.48903313,9.832407,0.0,0.0,0.0
UAcc,165469099069344,1684642343317,-0.35682967,0.45074797,9.841979,0.0,0.0,0.0
UAcc,165469101562677,1684642343320,-0.68464637,0.41724846,9.274879,0.0,0.0,0.0
UAcc,165469104048719,1684642343322,-0.5554339,0.30957142,8.511569,0.0,0.0,0.0
UAcc,165469106474448,1684642343325,-0.32333016,0.36699918,8.626425,0.0,0.0,0.0
UAcc,165469108984292,1684642343327,-0.014656039,0.625424,9.430413,0.0,0.0,0.0
UAcc,165469111410073,1684642343330,0.29162526,0.64217377,9.475877,0.0,0.0,0.0
UAcc,165469113903146,1684642343332,0.45912284,0.49142596,9.68166,0.0,0.0,0.0
UAcc,165469116547990,1684642343335,0.8419745,0.38374892,10.267901,0.0,0.0,0.0
