Rot,elapsedRealtimeNanos,utcTimeMillis,quaternionX,quaternionY,quaternionZ,quaternionW
Rot,165526684542811,1684642400903,0.1753636,0.22257857,0.7885615,0.5457812
Rot,165526694521718,1684642400913,0.17548731,0.22249205,0.78847814,0.5458972
Rot,165526694533488,1684642400913,0.17564468,0.22242106,0.7883637,0.5460407
Rot,165526704929634,1684642400923,0.17581266,0.22233815,0.78826505,0.5461629
Rot,165526705043697,1684642400923,0.17594098,0.22227181,0.7882082,0.5462306
Rot,165526714646509,1684642400933,0.17610368,0.22223899,0.78806096,0.54640394
Rot,165526714673176,1684642400933,0.17633362,0.2221692,0.78785723,0.5466519
Rot,165526725923176,1684642400944,0.17649415,0.22210382,0.7877454,0.54678774
Rot,165526725952499,1684642400944,0.1766853,0.2220566,0.78753763,0.5470445
Rot,165526735326197,1684642400954,0.17694269,0.22198264,0.7872514,0.5474031
Rot,165526735411978,1684642400954,0.17723839,0.22186047,0.78695434,0.54778403
Rot,165526745803488,1684642400964,0.11323311,0.26051807,0.9027817,0.3229454
Rot,165526745837238,1684642400964,0.11336638,0.26050457,0.90271634,0.32309237
Rot,165526755763280,1684642400974,0.09949421,0.26612473,0.9185324,0.2749123
Rot,165526755807343,1684642400974,0.09955914,0.26611528,0.9185104,0.27497157
Rot,165526765858020,1684642400984,0.09316776,0.26841608,0.9248352,0.25288823
Rot,165526765869009,1684642400984,0.09313852,0.26841825,0.9248431,0.25286788
Rot,165526776063957,1684642400994,0.09008049,0.26952177,0.92764866,0.24230461
Rot,165526776101561,1684642400994,0.09014656,0.26959217,0.92761153,0.24234387
Rot,165526785982395,1684642401004,0.088508785,0.27021545,0.9290659,0.23661454
Rot,165526786036822,1684642401004,0.08857576,0.2703147,0.9290126,0.23668517
Rot,165526795748124,1684642401014,0.087559834,0.27077046,0.9298885,0.23307513
Rot,165526795812186,1684642401014,0.08759501,0.2708314,0.9298549,0.23312497
Rot,165526805805311,1684642401024,0.08691867,0.2710386,0.93042237,0.23086248
Rot,165526805821613,1684642401024,0.08692877,0.2710664,0.9304047,0.23089695
Rot,165526805837655,1684642401024,0.08694442,0.27105775,0.9303978,0.2309291
Rot,165526815459895,1684642401034,0.086386785,0.27121213,0.93088746,0.22897565
Rot,165526815493280,1684642401034,0.086400084,0.27121744,0.93087673,0.22900791
Rot,165526825881353,1684642401044,0.085391566,0.2715516,0.93169934,0.22561997
Rot,165526825903749,1684642401044,0.085338004,0.27160758,0.9316857,0.22562927
Rot,165526835857134,1684642401054,0.08452045,0.2719073,0.9322929,0.2230531
Rot,165526836051405,1684642401054,0.08443541,0.27206197,0.93225825,0.2230416
Rot,165526844621822,1684642401063,0.08431967,0.27234706,0.9324488,0.22193798
Rot,165526844668020,1684642401063,0.08405529,0.27167413,0.9327081,0.22177348
Rot,165526855241926,1684642401073,0.08363013,0.27202922,0.93296766,0.22040285
Rot,165526855265624,1684642401073,0.082926534,0.27171275,0.93317926,0.22016318
Rot,165526865514686,1684642401084,0.082709014,0.27170587,0.9331599,0.22033566
Rot,165526865530676,1684642401084,0.082727894,0.27152961,0.9332001,0.2203753
Rot,165526874589738,1684642401093,0.082509845,0.27112773,0.93358684,0.2193115
Rot,165526874610780,1684642401093,0.08303989,0.27046198,0.9337079,0.21941803
Rot,165526891213697,1684642401109,0.08357926,0.26972234,0.9340628,0.2186118
Rot,165526891242551,1684642401109,0.0840553,0.26886436,0.9342664,0.21861596
Rot,165526894389947,1684642401113,0.083756916,0.26833645,0.9345638,0.21810739
Rot,165526894427759,1684642401113,0.08336713,0.26803723,0.93473005,0.21791221
Rot,165526904403801,1684642401123,0.082488,0.26831678,0.9350376,0.21657921
Rot,165526904433645,1684642401123,0.08167551,0.26871073,0.93504816,0.21635287
Rot,165526914600988,1684642401133,0.08108001,0.26907843,0.9351508,0.21567537
Rot,165526914622238,1684642401133,0.08086183,0.26894614,0.9352013,0.21570334
Rot,165526924547290,1684642401143,0.08096359,0.26894426,0.9352758,0.21534409
Rot,165526924561509,1684642401143,0.081229344,0.26845276,0.9353472,0.21554694
Rot,165526934572499,1684642401153,0.080631495,0.26772028,0.9357313,0.21501487
Rot,165526945443801,1684642401164,0.08016137,0.26726636,0.9359685,0.21472247
Rot,165526945468853,1684642401164,0.079840004,0.26705566,0.93612885,0.21440524
Rot,165526945643436,1684642401164,0.07988902,0.26703057,0.9361766,0.2142097
Rot,165526955172915,1684642401173,0.080169104,0.2669928,0.9361744,0.21416165
Rot,165526955201457,1684642401173,0.08068994,0.26695278,0.93611246,0.2142868
Rot,165526965554738,1684642401184,0.08108852,0.26685694,0.93607044,0.2144392
Rot,165526965567395,1684642401184,0.08113077,0.2668185,0.9360635,0.21450122
Rot,165526975972134,1684642401194,0.08095866,0.2668311,0.9360874,0.21444613
Rot,165526976051197,1684642401194,0.08092165,0.2668768,0.9360883,0.21439955
Rot,165526986301613,1684642401204,0.081051685,0.26682138,0.9360874,0.21442325
Rot,165526986317915,1684642401204,0.081353426,0.2666472,0.9360865,0.21452968
Rot,165526995970624,1684642401214,0.0818374,0.26640773,0.936049,0.21480663
Rot,165526996006092,1684642401214,0.0821781,0.26615614,0.93602264,0.21510309
Rot,165527005173697,1684642401223,0.08195261,0.26598468,0.93608207,0.21514247
Rot,165527005202707,1684642401223,0.08145925,0.2659244,0.93618023,0.2149772
Rot,165527015159686,1684642401233,0.08095758,0.26600167,0.93626684,0.21469362
Rot,165527015176457,1684642401233,0.08071699,0.26612172,0.9363079,0.2144562
Rot,165527025539738,1684642401244,0.08091337,0.26626998,0.93625355,0.21443547
Rot,165527025552863,1684642401244,0.0813824,0.26634672,0.9361455,0.21463452
Rot,165527035307811,1684642401253,0.081823416,0.26638246,0.9360249,0.21494809
Rot,165527035339842,1684642401254,0.08215753,0.2663522,0.9359259,0.21528909
Rot,165527045575259,1684642401264,0.08199987,0.26629075,0.9359308,0.21540381
Rot,165527045593436,1684642401264,0.081609555,0.2662493,0.9360093,0.21526209
Rot,165527055113905,1684642401273,0.08132306,0.2662116,0.9361026,0.21501121
Rot,165527055197395,1684642401273,0.08133505,0.26612824,0.9361675,0.21482742
Rot,165527065137759,1684642401283,0.081790246,0.26609743,0.93612796,0.2148649
Rot,165527065180780,1684642401283,0.08236492,0.26604196,0.936048,0.21506265
Rot,165527074815519,1684642401293,0.082838334,0.2660006,0.9359565,0.21532997
Rot,165527074854165,1684642401293,0.083102494,0.26594305,0.9358965,0.21555968
Rot,165527084772238,1684642401303,0.08290997,0.2659091,0.9359211,0.2155691
Rot,165527085022394,1684642401303,0.08261115,0.26591054,0.9359815,0.2154197
Rot,165527095067394,1684642401313,0.082379736,0.2659562,0.93604076,0.2151942
Rot,165527095130884,1684642401313,0.0825377,0.2659907,0.93604416,0.21507631
Rot,165527105089530,1684642401323,0.082918055,0.26606986,0.9359832,0.21509752
Rot,165527106086249,1684642401324,0.08344226,0.26613098,0.9358832,0.2152541
Rot,165527115055259,1684642401333,0.08356262,0.2665048,0.93573403,0.2153933
Rot,165527115654322,1684642401334,0.08365994,0.2666005,0.93567353,0.21550001
Rot,165527126002030,1684642401344,0.083286,0.26627317,0.9358594,0.21524236
Rot,165527126047186,1684642401344,0.083171405,0.26642704,0.93588305,0.21499327
